ix,polling_mean,polling_75,polling_median,polling_min,polling_25,party,polling_max,Bernie_Sanders,polling_avg_size,Donald_Trump,is_running_Ben_Carson,allCandRunning,Ben_Carson,twitter_25,twitter_75,Hillary_Clinton,twitter_mean,twitter_min,twitter_median,AFN120207,AGE135214,AGE295214,AGE775214,BPS030214,BZA010213,BZA110213,fraction_votes,votes,primary_date
0,28.31111111,33.2,40.89,35,0,1,17,0,1009.4,0,1,7,1,-0.559225,0.1366,0,0.077766667,-0.296,0.2294,88157,6,25.2,13.8,131,817,10120,0.146,1764,3/1/16
1,28.31111111,44.5,43,40,20,1,28.2,0,457.9444444,0,1,7,1,0,0,0,-0.01151,-0.6486,0,436955,5.6,22.2,18.7,1384,4871,54988,0.084,4221,3/1/16
2,28.31111111,44,44,44,0,1,12.8,0,1144,0,1,7,1,-0.3182,0.2388,0,0.077766667,-0.5994,0.15175,0,5.7,21.2,16.5,8,464,6611,0.122,417,3/1/16
3,28.31111111,41,40,44,17.75,1,24,0,400,0,1,7,1,0,-0.227675,0,-0.628166667,-0.6597,-0.555,10757,5.3,21,14.8,19,275,3145,0.099,393,3/1/16
4,28.31111111,83.975,65,77.9,33.5,1,42,0,1144,0,1,7,1,-0.3182,0.4404,0,0.02335,-0.748,0,20941,6.1,23.6,17,3,660,6798,0.1,1523,3/1/16
5,28.31111111,11,0,0,0,1,0,0,0,0,1,7,1,0,0,0,0.02612,-0.4824,0,3670,6.3,21.4,14.9,1,112,0,0.085,47,3/1/16
6,28.31111111,45,33,33,27,1,48,0,400,0,1,7,1,0.1424,0.07955,0,0.124655,0,0.2848,28427,6.1,23.6,18,2,393,5711,0.118,377,3/1/16
7,28.31111111,42.75,40,37,0,1,15,0,1009.4,0,1,7,1,-0.118075,0.2388,0,0.095425,-0.8316,0,186533,5.7,22.2,16,114,2311,34871,0.118,2350,3/1/16
8,28.31111111,44.5,40,40,50,1,61,0,400,0,1,7,1,0,0,0,0.033686667,-0.4767,0,23237,5.9,21.4,18.3,8,515,6431,0.131,595,3/1/16
9,28.31111111,29,35.4,29,0,1,17,0,400,0,1,7,1,0,0,0,0.066275,0,0,13948,4.8,20.4,20.9,2,379,3864,0.1,534,3/1/16
10,28.31111111,0,0,0,31.75,1,33.2,0,0,0,1,7,1,-0.224225,-0.227675,0,-0.628166667,-0.6597,-0.555,34073,6.4,24.2,15.2,78,703,7396,0.108,1149,3/1/16
11,28.31111111,27,22,17,0,1,17,0,400,0,1,7,1,0,-0.227675,0,-0.183714286,0,-0.1779,11345,4.9,20.6,20.8,0,255,2900,0.079,169,3/1/16
12,28.31111111,44.5,42,40,0,1,12.8,0,457.9444444,0,1,7,1,0,0,0,0,0,0,23596,5.6,22.6,18,11,586,6648,0.089,410,3/1/16
13,28.31111111,61,58,54,0,1,12.8,0,1144,0,1,7,1,0,0.2388,0,0.12117,-0.7906,0,4352,5.3,21.6,19.4,0,190,2993,0.122,492,3/1/16
14,28.31111111,12.1,0,0,40,1,46,0,0,0,1,7,1,0,0.1674,0,0.11351,-0.4404,0,4134,5.7,23.3,18.4,1,152,1548,0.1,437,3/1/16
15,28.31111111,48,52,49,37.5,1,47,0,400,0,1,7,1,0.1424,0.1674,0,0.11351,0,0.2848,50080,6.1,23.7,15.9,58,954,12762,0.132,1368,3/1/16
16,28.31111111,39.75,29,29,57,1,52,0,400,0,1,7,1,0,0,0,-0.012285,-0.6633,0,61935,5.7,21.7,18.5,143,1226,19820,0.109,884,3/1/16
17,28.31111111,34.75,30,27,17.75,1,24,0,400,0,1,7,1,0,0,0,0.02612,-0.5423,0,8667,5.5,21.4,20.4,3,194,2197,0.105,137,3/1/16
18,28.31111111,12.1,0,0,79.925,1,67.7,0,0,0,1,7,1,0,0,0,0.007175,-0.5994,0,575,4.8,18.3,18.5,0,93,992,0.09,201,3/1/16
19,28.31111111,0,0,0,0,1,0,0,0,0,1,7,1,0,0.28445,0,0.067245,-0.6808,0,30271,5.9,22.1,19.8,8,834,10824,0.133,1275,3/1/16
20,28.31111111,44.5,43,40,0,1,17,0,400,0,1,7,1,-0.0193,0,0,-0.012285,-0.6633,0,5640,6.1,22.7,18,2,211,3139,0.104,286,3/1/16
21,28.31111111,44.5,41,40,41.5,1,47,0,1144,0,1,7,1,-0.4003,0.394875,0,-0.028583333,-0.7845,0,102291,5.9,22.5,17.6,77,1714,22185,0.11,2301,3/1/16
22,28.31111111,33.2,35.4,33,43,1,43,0,400,0,1,7,1,0,0,0,-0.025144444,-0.6671,0,37229,6.3,23.6,15.4,17,766,11924,0.125,1150,3/1/16
23,28.31111111,83.975,65,77.9,0,1,12.8,0,1144,0,1,7,1,-0.03535,0.2388,0,0.11007,-0.8118,0.0516,33708,6.7,25.2,15.6,17,757,10420,0.053,46,3/1/16
24,28.31111111,0,0,0,31.75,1,36,0,0,0,1,7,1,0,0,0,0.062914286,0,0,67915,6.2,24.7,15.7,31,1082,16841,0.098,1285,3/1/16
25,28.31111111,0,0,0,26,1,23.54,0,0,0,1,7,1,-0.0193,-0.227675,0,-0.555,-0.5423,-0.555,47884,5.9,23,14,259,1135,14056,0.148,2630,3/1/16
26,28.31111111,31,28,20,23.5,1,23.54,0,400,0,1,7,1,0,0,0,0.062914286,0,0,31909,6.1,22,16.7,26,723,9977,0.102,585,3/1/16
27,28.31111111,12.1,0,0,0,1,0,0,0,0,1,7,1,0,0.4662,0,0.201381818,0,0,137966,5.7,22.1,17.3,79,2008,29796,0.112,2098,3/1/16
28,28.31111111,44.5,40,40,34,1,37,0,400,0,1,7,1,0,-0.227675,0,-0.1779,0,-0.1779,10869,5.4,21.7,19.6,0,306,3323,0.098,488,3/1/16
