State,Party,Candidate,min,25th,median,75th,max,mean,avg_size
Alabama,Democrat,Clinton,59,62,65,68,71,65,400
Alabama,Democrat,Sanders,23,25,27,29,31,27,400
Alabama,Republican,Rubio,0,0,0,0,0,0,0
Alabama,Republican,Cruz,12,13,16,16.2,18,15.04,1009.4
Alabama,Republican,Trump,35.8,36,36,42,47,39.36,1009.4
Alaska,Democrat,Clinton,0,0,0,0,0,0,0
Alaska,Democrat,Sanders,0,0,0,0,0,0,0
Alaska,Republican,Rubio,0,0,0,0,0,0,0
Alaska,Republican,Cruz,27,27,27,27,27,27,318
Alaska,Republican,Trump,41,41,41,41,41,41,318
Arizona,Republican,Cruz,19,21.15,23.3,28.3,33.3,25.2,552.6666667
Arizona,Republican,Rubio,0,0,0,0,0,0,0
Arizona,Democrat,Sanders,24,24,24,24,24,24,300
Arizona,Democrat,Clinton,50,50,50,50,50,50,300
Arizona,Republican,Trump,31,34.15,37.3,41.55,45.8,38.03333333,552.6666667
Arkansas,Republican,Cruz,27,27,27,27,27,27,542
Arkansas,Republican,Rubio,0,0,0,0,0,0,0
Arkansas,Democrat,Sanders,32,32,32,32,32,32,525
Arkansas,Democrat,Clinton,57,57,57,57,57,57,525
Arkansas,Republican,Trump,34,34,34,34,34,34,542
California,Democrat,Clinton,45,47,49,49,57,49,567
California,Democrat,Sanders,39,41,44,47,47,43.71428571,567
California,Republican,Rubio,0,0,0,0,0,0,0
California,Republican,Cruz,0,0,0,0,0,0,0
California,Republican,Trump,0,0,0,0,0,0,0
Colorado,Republican,Trump,0,0,0,0,0,0,0
Colorado,Republican,Cruz,0,0,0,0,0,0,0
Colorado,Republican,Rubio,0,0,0,0,0,0,0
Colorado,Democrat,Clinton,44,44,44,44,44,44,1144
Colorado,Democrat,Sanders,49,49,49,49,49,49,1144
Connecticut,Democrat,Clinton,48,48.5,49,50,51,49.33333333,700.6666667
Connecticut,Democrat,Sanders,42,42.5,43,44.5,46,43.66666667,700.6666667
Connecticut,Republican,Rubio,0,0,0,0,0,0,0
Connecticut,Republican,Cruz,0,0,0,0,0,0,0
Connecticut,Republican,Trump,48,49.5,52,55.25,59,52.75,663.25
Delaware,Democrat,Sanders,38,38,38,38,38,38,1026
Delaware,Republican,Trump,55,55,55,55,55,55,1038
Delaware,Republican,Cruz,0,0,0,0,0,0,0
Delaware,Republican,Rubio,0,0,0,0,0,0,0
Delaware,Democrat,Clinton,45,45,45,45,45,45,1026
District of Columbia,Republican,Rubio,0,0,0,0,0,0,0
District of Columbia,Republican,Cruz,0,0,0,0,0,0,0
District of Columbia,Democrat,Sanders,0,0,0,0,0,0,0
District of Columbia,Democrat,Clinton,0,0,0,0,0,0,0
District of Columbia,Republican,Trump,0,0,0,0,0,0,0
Florida,Democrat,Clinton,54,58,60,61.5,68,60.06666667,524.4
Florida,Democrat,Sanders,23,30.5,32,34,42,31.86666667,524.4
Florida,Republican,Rubio,20,22.25,24.5,27,32,25.31538462,699.7307692
Florida,Republican,Cruz,0,0,0,0,0,0,0
Florida,Republican,Trump,33,38,43,44,49,41.35769231,699.7307692
Georgia,Democrat,Clinton,57,60,63,66,72,63.67777778,589.5555556
Georgia,Democrat,Sanders,19.8,26,29,30,36,28.31111111,589.5555556
Georgia,Republican,Rubio,18.25,20,22,22.925,23.54,21.349,799.6
Georgia,Republican,Cruz,0,0,0,0,0,0,0
Georgia,Republican,Trump,30,33.25,38.75,39.75,45,37.145,799.6
Hawaii,Republican,Trump,0,0,0,0,0,0,0
Hawaii,Republican,Cruz,0,0,0,0,0,0,0
Hawaii,Republican,Rubio,0,0,0,0,0,0,0
Hawaii,Democrat,Clinton,0,0,0,0,0,0,0
Hawaii,Democrat,Sanders,0,0,0,0,0,0,0
Idaho,Republican,Trump,0,0,0,0,0,0,0
Idaho,Republican,Cruz,0,0,0,0,0,0,0
Idaho,Republican,Rubio,0,0,0,0,0,0,0
