State,latitude,longitude,Radius,Date,Party,After,Until
Alabama,32.84166667,-86.63333333,146.9965617,3/1/16,Republican,2/25/16,3/2/16
Alabama,32.84166667,-86.63333333,146.9965617,3/1/16,Democrat,2/25/16,3/2/16
Alaska,64.73166667,-152.47,523.7151918,3/1/16,Republican,2/25/16,3/2/16
Alaska,64.73166667,-152.47,523.7151918,3/26/16,Democrat,3/21/16,3/27/16
Arizona,34.30833333,-111.7933333,216.7670419,3/22/16,Republican,3/17/16,3/23/16
Arizona,34.30833333,-111.7933333,216.7670419,3/22/16,Democrat,3/17/16,3/23/16
Arkansas,34.815,-92.30166667,148.0565048,3/1/16,Republican,2/25/16,3/2/16
Arkansas,34.815,-92.30166667,148.0565048,3/1/16,Democrat,2/25/16,3/2/16
California,36.965,-120.0816667,259.7622832,6/7/16,Republican,6/2/16,6/8/16
California,36.965,-120.0816667,259.7622832,6/7/16,Democrat,6/2/16,6/8/16
Colorado,38.99833333,-105.6416667,207.143264,3/1/16,Republican,2/25/16,3/2/16
Colorado,38.99833333,-105.6416667,207.143264,3/1/16,Democrat,2/25/16,3/2/16
Connecticut,41.595,-72.70666667,47.80154305,4/26/16,Republican,4/21/16,4/27/16
Connecticut,41.595,-72.70666667,47.80154305,4/26/16,Democrat,4/21/16,4/27/16
Delaware,38.98,-75.51166667,32.02987298,4/26/16,Republican,4/21/16,4/27/16
Delaware,38.98,-75.51166667,32.02987298,4/26/16,Democrat,4/21/16,4/27/16
District of Columbia,39.16666667,-76.85,5.307581834,3/11/16,Republican,3/6/16,3/12/16
District of Columbia,39.16666667,-76.85,5.307581834,6/14/16,Democrat,6/9/16,6/15/16
Florida,28.13333333,-81.63166667,164.6389889,3/15/16,Republican,3/10/16,3/16/16
Florida,28.13333333,-81.63166667,164.6389889,3/15/16,Democrat,3/10/16,3/16/16
Georgia,32.71333333,-83.495,156.5105022,3/1/16,Republican,2/25/16,3/2/16
Georgia,32.71333333,-83.495,156.5105022,3/1/16,Democrat,2/25/16,3/2/16
Hawaii,20.95166667,-157.2766667,67.12789214,3/8/16,Republican,3/3/16,3/9/16
Hawaii,20.95166667,-157.2766667,67.12789214,3/26/16,Democrat,3/21/16,3/27/16
Idaho,44.25666667,-114.9566667,185.6016523,3/8/16,Republican,3/3/16,3/9/16
Idaho,44.25666667,-114.9566667,185.6016523,3/22/16,Democrat,3/17/16,3/23/16
Illinois,40.01333333,-89.30666667,154.5071056,3/15/16,Republican,3/10/16,3/16/16
Illinois,40.01333333,-89.30666667,154.5071056,3/15/16,Democrat,3/10/16,3/16/16
Indiana,39.895,-86.26666667,122.5253001,5/3/16,Republican,4/28/16,5/4/16
Indiana,39.895,-86.26666667,122.5253001,5/3/16,Democrat,4/28/16,5/4/16
Iowa,41.96166667,-93.385,152.3029755,2/1/16,Republican,1/27/16,2/2/16
Iowa,41.96166667,-93.385,152.3029755,2/1/16,Democrat,1/27/16,2/2/16
Kansas,38.49833333,-98.69833333,184.1627497,3/5/16,Republican,2/29/16,3/6/16
Kansas,38.49833333,-98.69833333,184.1627497,3/5/16,Democrat,2/29/16,3/6/16
Kentucky,37.35833333,-85.50666667,129.06014,3/5/16,Republican,2/29/16,3/6/16
Kentucky,37.35833333,-85.50666667,129.06014,3/17/16,Democrat,3/12/16,3/18/16
Louisiana,30.96833333,-92.53666667,146.9380836,3/5/16,Republican,2/29/16,3/6/16
Louisiana,30.96833333,-92.53666667,146.9380836,3/5/16,Democrat,2/29/16,3/6/16
Maine,45.25333333,-69.23333333,120.763591,3/5/16,Republican,2/29/16,3/6/16
Maine,45.25333333,-69.23333333,120.763591,3/6/16,Democrat,3/1/16,3/7/16
Maryland,39.44166667,-77.37166667,71.51089061,4/26/16,Republican,4/21/16,4/27/16
Maryland,39.44166667,-77.37166667,71.51089061,4/26/16,Democrat,4/21/16,4/27/16
Massachusetts,42.34,-72.03166667,65.95952944,3/1/16,Republican,2/25/16,3/2/16
Massachusetts,42.34,-72.03166667,65.95952944,3/1/16,Democrat,2/25/16,3/2/16
Michigan,45.06166667,-84.93833333,199.6653306,3/8/16,Republican,3/3/16,3/9/16
Michigan,45.06166667,-84.93833333,199.6653306,3/8/16,Democrat,3/3/16,3/9/16
Minnesota,46.025,-95.32666667,189.3034718,3/1/16,Republican,2/25/16,3/2/16
Minnesota,46.025,-95.32666667,189.3034718,3/1/16,Democrat,2/25/16,3/2/16
Mississippi,32.815,-89.71666667,141.2942948,3/8/16,Republican,3/3/16,3/9/16
Mississippi,32.815,-89.71666667,141.2942948,3/8/16,Democrat,3/3/16,3/9/16
Missouri,38.495,-92.63166667,169.5105702,3/15/16,Republican,3/10/16,3/16/16
Missouri,38.495,-92.63166667,169.5105702,3/15/16,Democrat,3/10/16,3/16/16
Montana,47.03166667,-109.6383333,246.1932902,6/7/16,Republican,6/2/16,6/8/16
Montana,47.03166667,-109.6383333,246.1932902,6/7/16,Democrat,6/2/16,6/8/16
Nebraska,41.525,-99.86166667,178.5595412,5/10/16,Republican,5/5/16,5/11/16
Nebraska,41.525,-99.86166667,178.5595412,3/5/16,Democrat,2/29/16,3/6/16
Nevada,39.505,-116.9316667,213.4919029,2/23/16,Republican,2/18/16,2/24/16
Nevada,39.505,-116.9316667,213.4919029,2/20/16,Democrat,2/15/16,2/21/16
New Hampshire,43.64166667,-71.57166667,62.07880308,2/9/16,Republican,2/4/16,2/10/16
New Hampshire,43.64166667,-71.57166667,62.07880308,2/9/16,Democrat,2/4/16,2/10/16
New Jersey,40.07,-74.55833333,59.96223244,6/7/16,Republican,6/2/16,6/8/16
New Jersey,40.07,-74.55833333,59.96223244,6/7/16,Democrat,6/2/16,6/8/16
New Mexico,34.50166667,-106.1116667,223.8762989,6/7/16,Republican,6/2/16,6/8/16
New Mexico,34.50166667,-106.1116667,223.8762989,6/7/16,Democrat,6/2/16,6/8/16
New York,42.965,-76.01666667,149.9603814,4/19/16,Republican,4/14/16,4/20/16
New York,42.965,-76.01666667,149.9603814,4/19/16,Democrat,4/14/16,4/20/16
North Carolina,35.60333333,-79.455,148.9455158,3/15/16,Republican,3/10/16,3/16/16
North Carolina,35.60333333,-79.455,148.9455158,3/15/16,Democrat,3/10/16,3/16/16
North Dakota,47.41166667,-100.5683333,170.7118722,3/1/16,Republican,2/25/16,3/2/16
North Dakota,47.41166667,-100.5683333,170.7118722,6/7/16,Democrat,6/2/16,6/8/16
Ohio,40.36166667,-82.74166667,135.9322279,3/15/16,Republican,3/10/16,3/16/16
Ohio,40.36166667,-82.74166667,135.9322279,3/15/16,Democrat,3/10/16,3/16/16
Oklahoma,35.53666667,-97.66,169.7437287,3/1/16,Republican,2/25/16,3/2/16
Oklahoma,35.53666667,-97.66,169.7437287,3/1/16,Democrat,2/25/16,3/2/16
Oregon,43.86833333,-120.9783333,201.3765635,5/17/16,Republican,5/12/16,5/18/16
Oregon,43.86833333,-120.9783333,201.3765635,5/17/16,Democrat,5/12/16,5/18/16
Pennsylvania,40.89666667,-77.74666667,137.782443,4/26/16,Republican,4/21/16,4/27/16
Pennsylvania,40.89666667,-77.74666667,137.782443,4/26/16,Democrat,4/21/16,4/27/16
Rhode Island,41.67166667,-71.57666667,25.23447894,4/26/16,Republican,4/21/16,4/27/16
Rhode Island,41.67166667,-71.57666667,25.23447894,4/26/16,Democrat,4/21/16,4/27/16
South Carolina,33.83,-80.87333333,114.8877578,2/20/16,Republican,2/15/16,2/21/16
South Carolina,33.83,-80.87333333,114.8877578,2/27/16,Democrat,2/22/16,2/28/16
South Dakota,44.40166667,-100.4783333,178.2914962,6/7/16,Republican,6/2/16,6/8/16
South Dakota,44.40166667,-100.4783333,178.2914962,6/7/16,Democrat,6/2/16,6/8/16
Tennessee,35.795,-86.62166667,131.8037917,3/1/16,Republican,2/25/16,3/2/16
Tennessee,35.795,-86.62166667,131.8037917,3/1/16,Democrat,2/25/16,3/2/16
Texas,31.24333333,-99.45833333,332.7432133,3/1/16,Republican,2/25/16,3/2/16
Texas,31.24333333,-99.45833333,332.7432133,3/1/16,Democrat,2/25/16,3/2/16
Utah,39.38666667,-111.685,187.0703269,3/22/16,Republican,3/17/16,3/23/16
Utah,39.38666667,-111.685,187.0703269,3/22/16,Democrat,3/17/16,3/23/16
Vermont,43.92666667,-72.67166667,62.95961414,3/1/16,Republican,2/25/16,3/2/16
Vermont,43.92666667,-72.67166667,62.95961414,3/1/16,Democrat,2/25/16,3/2/16
Virginia,37.48833333,-78.56333333,132.786666,3/1/16,Republican,2/25/16,3/2/16
Virginia,37.48833333,-78.56333333,132.786666,3/1/16,Democrat,2/25/16,3/2/16
Washington,47.33333333,-120.2683333,171.4342759,2/20/16,Republican,2/15/16,2/21/16
Washington,47.33333333,-120.2683333,171.4342759,3/26/16,Democrat,3/21/16,3/27/16
West Virginia,38.59833333,-80.70333333,99.93961981,5/10/16,Republican,5/5/16,5/11/16
West Virginia,38.59833333,-80.70333333,99.93961981,5/10/16,Democrat,5/5/16,5/11/16
Wisconsin,44.43333333,-89.76333333,164.3114383,4/5/16,Republican,3/31/16,4/6/16
Wisconsin,44.43333333,-89.76333333,164.3114383,4/5/16,Democrat,3/31/16,4/6/16
Wyoming,42.97166667,-107.6716667,200.7972049,3/1/16,Republican,2/25/16,3/2/16
Wyoming,42.97166667,-107.6716667,200.7972049,4/9/16,Democrat,4/4/16,4/10/16
