,State,Primary,Candidate,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
0,Alabama,Democrat,Clinton,0,-0.0644,-0.4767,0,0,0,0,0,0,0,0.5994,0,-0.2225,-0.34,0.4404,0,0,0,0.4995,
1,Alabama,Democrat,Sanders,0,0.6696,0,-0.1779,,,,,,,,,,,,,,,,
2,Alabama,Republican,Rubio,0.6486,0,0,0.34,0.6249,0,-0.4019,-0.3861,0.4566,0,0.296,0.4201,0.8225,-0.09,-0.6369,0.7906,0.2484,0.836,0.5574,0.3182
3,Alabama,Republican,Cruz,-0.3182,-0.3861,0.1779,0,0.4201,0,-0.09,-0.6369,0,0.0258,-0.4767,-0.6705,0,0.5719,0.872,0,-0.3818,0.7876,0,0.5719
4,Alabama,Republican,Trump,0.7297,-0.3612,0,-0.8765,0.4019,0,0.5423,0.4566,0.5719,0.5319,0,0,-0.09,0.2484,-0.2023,0.3612,-0.4215,0,-0.2617,0.3818
5,Alaska,Democrat,Clinton,,,,,,0,,,,,,,,,,,,,,
6,Alaska,Democrat,Sanders,0,0,0.8221,,,,-0.4404,,,,,,,,,,,,,
7,Alaska,Republican,Rubio,0,,,,,,,0,,,,,,,,,,,,
8,Alaska,Republican,Cruz,0,0,0,0,0,0.4404,,,0,,,,,,,,,,,
9,Alaska,Republican,Trump,,,,,,,,,,0,,,,,,,,,,
10,Arizona,Democrat,Clinton,0,0,0,0,0,0.4588,0,0,0,0,0,0,0,0,0,0,0.34,0,0.5267,0
11,Arizona,Democrat,Sanders,-0.1531,0,0.7762,0,0,0,0,-0.0772,-0.3182,0,0,0.3182,-0.6633,0,0,0,0.6369,0,0,0
12,Arizona,Republican,Rubio,-0.2732,0,0,0.1531,,,,,,,,,0,,,,,,,
13,Arizona,Republican,Cruz,0,0.7777,0.3875,-0.5242,0.8516,0,0,0,0.8357,0,-0.6625,0.5684,0.717,0.5255,0,0,0,0,0.2732,-0.5255
14,Arizona,Republican,Trump,0.8122,0,0.2732,0.5574,-0.6124,0.4019,0,0,0,-0.5423,0,-0.1613,-0.4767,-0.1027,0.3818,0,-0.6625,-0.431,0.717,
15,Arkansas,Democrat,Clinton,0,0,0,0.4404,0,0.4215,0.5994,0,0,-0.69,0,0,0,0.2263,,-0.6832,,,,
16,Arkansas,Democrat,Sanders,0.6486,,,,,,,,,,,,,,,,0,,,
17,Arkansas,Republican,Rubio,0,0,0.4199,0.8481,0,0,0,-0.3804,0,0.4588,0.2263,0,-0.6671,-0.4003,,,,0,,
18,Arkansas,Republican,Cruz,0,0,0,-0.636,-0.6671,0,-0.4003,0,,,,,,,,,,,0,
19,Arkansas,Republican,Trump,0.2732,0,-0.0516,-0.6597,0,,,,,,,,,,,,,,,0
20,California,Democrat,Clinton,0.7463,0,0.0828,0,-0.2058,0,0,0,0.34,0.4404,0,0.25,-0.5574,0,0.3818,0,0,0,0.7233,0
21,California,Democrat,Sanders,-0.7712,0.7463,0.3612,0,0,0,-0.4023,0,-0.4559,0,0,0,0,0.4145,-0.4389,0.3182,0,0,0.6125,0
22,California,Republican,Rubio,0,0,0,0,0,0,,,,,,,,,,,,,,
23,California,Republican,Cruz,0,0,0,0,0,0,0,0.128,0,0,0,0,0.5106,0,0.5411,0,0,-0.5423,-0.4939,0
24,California,Republican,Trump,-0.4767,0,0,0,0,-0.2003,0,0,0,0,-0.428,0,0,-0.5574,0,-0.296,,,,
